Frame,Captura,Procesamiento,Tracking(ms),Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
948,"0,009788","0,041217","63,786596","0,061746",73,"176,537508","0,873789"
949,"0,009603","0,069805","67,33327","0,050762",72,"197,503104","0,935184"
950,"0,0086","0,058544","63,528055","0,042773",74,"173,444616","0,858487"
951,"0,007626","0,043666","57,405667","0,036453",74,"145,15017","0,775752"
952,"0,007934","0,041373","56,298156","0,039574",75,"145,178364","0,750642"
953,"0,007615","0,045095","51,986547","0,040957",73,"145,653748","0,712144"
954,"0,009087","0,11778","59,584304","0,042232",73,"228,683516","0,816223"
955,"0,008761","0,113277","62,317786","0,045416",73,"229,770997","0,853668"
956,"0,005506","0,075062","65,426646","0,038183",74,"184,178148","0,884144"
957,"0,005464","0,071472","62,218452","0,038983",76,"178,137746","0,818664"
958,"0,009882","0,048673","55,435968","0,034393",78,"148,383484","0,710718"
959,"0,005438","0,04635","58,803785","0,037915",77,"148,506883","0,763686"
960,"0,00834","0,069082","56,055551","0,035785",79,"169,263477","0,709564"
961,"0,006308","0,050592","53,635558","0,034212",78,"144,746886","0,687635"
962,"0,009934","0,048092","58,122247","0,037056",77,"153,203535","0,754834"
963,"0,005776","0,041785","53,488638","0,042083",79,"143,133525","0,677071"
964,"0,010348","0,034007","58,532699","0,034444",77,"137,332177","0,760165"
965,"0,005433","0,041881","55,760688","0,042069",80,"145,142712","0,697009"
966,"0,012428","0,046113","70,381871","0,057245",78,"186,167367","0,902332"
967,"0,007445","0,047037","72,232268","0,05009",81,"176,80456","0,891756"
968,"0,006837","0,043254","68,744924","0,044888",83,"163,723711","0,828252"
969,"0,007278","0,03707","68,53061","0,043372",83,"156,250695","0,82567"
970,"0,008123","0,042141","68,684121","0,049478",81,"168,425385","0,847952"
971,"0,006179","0,039321","64,159733","0,036853",84,"146,513116","0,763806"
972,"0,00875","0,037281","63,46597","0,036042",83,"145,538571","0,76465"
973,"0,007809","0,04214","56,825605","0,041039",83,"147,81379","0,684646"
974,"0,006117","0,036213","61,040121","0,039313",83,"142,682782","0,735423"
975,"0,009188","0,040608","64,543977","0,053281",82,"167,620642","0,787122"
976,"0,005896","0,036626","67,47206","0,080865",82,"190,859568","0,82283"
977,"0,012548","0,055408","92,430977","0,046793",82,"207,179268","1,127207"
978,"0,011725","0,054004","69,909494","0,051258",79,"186,89636","0,88493"
979,"0,007418","0,047283","70,50866","0,055174",81,"180,384096","0,870477"
980,"0,009924","0,046058","68,816287","0,070836",82,"195,63408","0,839223"
981,"0,012578","0,054628","75,137277","0,025941",82,"168,284482","0,916308"
982,"0,005479","0,048418","65,616894","0,061388",84,"180,901979","0,781153"
983,"0,009946","0,046388","74,627715","0,045174",85,"176,136492","0,877973"
984,"0,00637","0,040235","64,835224","0,040328",82,"151,768741","0,790673"
985,"0,010573","0,040609","59,919776","0,044097",83,"155,198447","0,721925"
986,"0,006345","0,046734","60,202831","0,03911",83,"152,391685","0,725335"
987,"0,006171","0,051335","56,479283","0,051491",83,"165,476628","0,680473"
988,"0,00558","0,076614","62,218164","0,046645",81,"191,057209","0,768125"
989,"0,005656","0,055226","58,535066","0,049668",82,"169,085449","0,713842"
990,"0,008334","0,067378","67,59373","0,039884",81,"183,189518","0,83449"
991,"0,011594","0,059442","58,346769","0,040762",81,"170,145087","0,72033"
992,"0,005539","0,066059","55,459392","0,05408",80,"181,137254","0,693242"
993,"0,009917","0,050444","64,913883","0,03707",82,"162,345431","0,791633"
994,"0,005513","0,057463","56,829252","0,039604",82,"159,408835","0,69304"
995,"0,00634","0,049344","57,266746","0,036773",82,"149,723484","0,698375"
996,"0,010099","0,0436","54,78531","0,043922",84,"152,406819","0,652206"
997,"0,005425","0,043138","58,522745","0,036249",84,"143,335067","0,696699"
998,"0,008732","0,039284","53,20315","0,036082",80,"137,301515","0,665039"
999,"0,011809","0,05087","58,032354","0,037574",83,"158,285036","0,699185"
1000,"0,013531","0,04165","66,686004","0,06266",83,"184,527375","0,803446"
1001,"0,011332","0,049081","77,592119","0,059215",80,"197,219916","0,969901"
