Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS
262,"0,005932","0,019167","0,00777","0,0142",6,"47,068169","1,295005",0
263,"0,005505","0,017932","0,012253","0,008843",6,"44,53304","2,042091",0
264,"0,006736","0,020823","0,01053","0,009319",5,"47,407095","2,105981",0
265,"0,006398","0,017444","0,010149","0,011051",6,"45,041223","1,69145",0
266,"0,00586","0,016963","0,009015","0,010525",6,"42,363146","1,502449",0
267,"0,005654","0,017424","0,013264","0,016898",6,"53,240521","2,210728",0
268,"0,00524","0,02142","0,01099","0,009855",6,"47,504348","1,831686",0
269,"0,008919","0,019273","0,010611","0,011249",6,"50,051157","1,768425",0
270,"0,005567","0,018556","0,009107","0,012045",6,"45,274387","1,517768",0
271,"0,006506","0,017791","0,013903","0,009607",5,"47,80721","2,780579",0
272,"0,006774","0,020435","0,01073","0,009476",5,"47,414552","2,146008",0
273,"0,006671","0,018405","0,008789","0,014322",5,"48,186876","1,757734",0
274,"0,006975","0,016287","0,009366","0,009731",5,"42,358058","1,873195",0
275,"0,00522","0,016545","0,00856","0,009499",4,"39,824946","2,140092",0
276,"0,005598","0,016099","0,011718","0,012221",4,"45,635362","2,929434",0
277,"0,006747","0,022274","0,008011","0,01394",4,"50,972928","2,002871",0
278,"0,006578","0,015551","0,008717","0,011155",4,"42,000313","2,179158",0
279,"0,009875","0,016464","0,009097","0,010455",4,"45,891185","2,274219",0
280,"0,005662","0,017551","0,008436","0,010783",4,"42,432556","2,109099",0
281,"0,005436","0,017142","0,008946","0,011804",4,"43,327928","2,236513",0
282,"0,005454","0,017123","0,006967","0,012831",4,"42,37521","1,741826",0
283,"0,005226","0,015982","0,008065","0,011471",4,"40,743966","2,016327",0
284,"0,005574","0,019734","0,006676","0,011033",4,"43,017384","1,66899",0
285,"0,006821","0,01652","0,0113","0,01235",4,"46,99005","2,824893",0
286,"0,007742","0,018795","0,007242","0,012003",4,"45,781291","1,810469",0
287,"0,006317","0,016165","0,008701","0,010603",4,"41,786062","2,175286",0
288,"0,006273","0,018287","0,009926","0,011338",4,"45,824237","2,481549",0
289,"0,006082","0,018986","0,010968","0,010895",4,"46,930946","2,741953",0
290,"0,00593","0,017772","0,007062","0,011898",4,"42,661015","1,765515",0
291,"0,005392","0,0172","0,010674","0,01339",4,"46,656917","2,668582",0
292,"0,006625","0,017577","0,010005","0,014737",4,"48,94275","2,501134",0
293,"0,00698","0,016878","0,007338","0,011245",4,"42,441229","1,834511",0
294,"0,005937","0,015632","0,008148","0,011659",4,"41,376635","2,037112",0
295,"0,006682","0,018612","0,009587","0,011815",4,"46,696117","2,396753",0
296,"0,006304","0,019805","0,007223","0,00911",4,"42,442541","1,805845",0
297,"0,006037","0,016169","0,010547","0,014697",3,"47,450264","3,515675",0
298,"0,005695","0,018908","0,010175","0,011894",3,"46,671381","3,391541",0
299,"0,005527","0,021079","0,00735","0,010013",3,"43,968789","2,450057",0
300,"0,005407","0,018695","0,007909","0,008194",3,"40,204004","2,636263",0
301,"0,008737","0,017767","0,006656","0,014338",3,"47,498299","2,2186",0
302,"0,005508","0,017351","0,006437","0,013399",3,"42,694809","2,145797",0
303,"0,005236","0,017811","0,008503","0,011051",3,"42,599828","2,834309",0
304,"0,005724","0,017678","0,013765","0,011895",3,"49,061829","4,588216",0
305,"0,005962","0,021561","0,008374","0,011312",4,"47,209519","2,093475",0
306,"0,005292","0,017434","0,009351","0,010365",4,"42,441772","2,337806",0
307,"0,005176","0,017735","0,008089","0,010115",4,"41,115279","2,022287",0
308,"0,006619","0,017666","0,00709","0,010773",4,"42,14832","1,772587",0
309,"0,009114","0,016321","0,010801","0,010267",4,"46,503052","2,700183",0
310,"0,005355","0,021174","0,006015","0,009287",4,"41,830833","1,503695",0
311,"0,006367","0,017014","0,00635","0,009244",4,"38,975306","1,587515",0
312,"0,006967","0,017726","0,009732","0,010687",4,"45,112555","2,433107",0
313,"0,006393","0,018795","0,009361","0,013856",4,"48,404967","2,340198",0
314,"0,009228","0,01701","0,008536","0,008851",4,"43,625286","2,134116",0
315,"0,00662","0,02281","0,011224","0,009888",4,"50,541322","2,805916",0
316,"0,0055","0,018592","0,010093","0,009552",4,"43,73729","2,523319",0
317,"0,007604","0,016739","0,007923","0,010211",6,"42,477519","1,320478",0
318,"0,007633","0,017803","0,008956","0,009565",6,"43,958484","1,492737",0
319,"0,009595","0,016436","0,009709","0,008228",5,"43,968822","1,941781",0
320,"0,006044","0,018175","0,008858","0,009789",6,"42,865602","1,476357",0
321,"0,00863","0,016883","0,009944","0,010306",7,"45,76321","1,420615",0
322,"0,005518","0,01743","0,010505","0,014384",7,"47,836492","1,500729",0
323,"0,006099","0,020542","0,010217","0,013182",7,"50,040596","1,459543",0
324,"0,005341","0,017317","0,009352","0,011037",6,"43,045961","1,558607",0
325,"0,005313","0,018828","0,010658","0,013023",6,"47,822314","1,776324",0
326,"0,006954","0,017867","0,009588","0,012324",6,"46,732886","1,598081",0
327,"0,006685","0,018103","0,008976","0,010334",5,"44,098042","1,795176",0
328,"0,005937","0,017018","0,008654","0,013295",5,"44,905442","1,730897",0
329,"0,00683","0,017051","0,00749","0,011573",5,"42,943941","1,498061",0
330,"0,006519","0,017572","0,007937","0,011915",5,"43,942548","1,587403",0
331,"0,005244","0,01789","0,010494","0,011217",5,"44,844991","2,098736",0
332,"0,006918","0,018498","0,008237","0,011166",5,"44,819614","1,647418",0
333,"0,006429","0,017309","0,01141","0,013292",5,"48,440904","2,281906",0
334,"0,006399","0,018511","0,010147","0,012373",5,"47,429944","2,029388",0
335,"0,006156","0,018799","0,010783","0,008278",5,"44,016408","2,156652",0
336,"0,00687","0,021442","0,007418","0,009581",5,"45,311412","1,483596",0
337,"0,00518","0,018298","0,008685","0,011597",5,"43,759787","1,737023",0
338,"0,006519","0,017444","0,007849","0,010852",5,"42,664504","1,569834",0
339,"0,006514","0,016616","0,007215","0,013829",5,"44,174814","1,443095",0
