Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
192,"0,007420","0,019616","0,007063","0,008667",3,"42,766431","2,354415"
193,"0,006004","0,016128","0,008129","0,008693",3,"38,954092","2,709714"
194,"0,006549","0,018947","0,006804","0,009388",3,"41,687540","2,268022"
195,"0,006532","0,015380","0,007555","0,007802",3,"37,268846","2,518219"
196,"0,005355","0,017100","0,007394","0,008812",3,"38,661090","2,464670"
197,"0,005542","0,016405","0,007011","0,007582",3,"36,540114","2,337007"
198,"0,005847","0,015631","0,006540","0,007084",3,"35,101400","2,180051"
199,"0,005607","0,016756","0,008571","0,007690",3,"38,623648","2,856909"
200,"0,005593","0,015564","0,009328","0,007377",3,"37,860867","3,109207"
201,"0,005752","0,018751","0,007185","0,007720",3,"39,408063","2,395142"
202,"0,007341","0,015804","0,007336","0,006774",3,"37,255882","2,445298"
203,"0,006135","0,017689","0,005694","0,008785",3,"38,303411","1,898003"
204,"0,007570","0,014346","0,006275","0,008024",3,"36,215366","2,091749"
205,"0,006644","0,022275","0,009672","0,009463",3,"48,054441","3,224112"
206,"0,005976","0,016426","0,007065","0,007626",3,"37,092101","2,354895"
207,"0,005792","0,017717","0,006876","0,007974",2,"38,358390","3,437763"
208,"0,006846","0,017290","0,006291","0,008342",2,"38,769191","3,145336"
209,"0,006254","0,016518","0,005678","0,007006",2,"35,456297","2,839005"
210,"0,005920","0,017360","0,006421","0,006791",2,"36,491088","3,210251"
211,"0,006560","0,015907","0,005525","0,006654",2,"34,646728","2,762490"
212,"0,005298","0,016473","0,006051","0,006683",2,"34,505348","3,025667"
213,"0,005688","0,015251","0,009525","0,007819",2,"38,282931","4,762326"
214,"0,006846","0,021306","0,007497","0,009898",2,"45,546599","3,748255"
215,"0,005757","0,018104","0,009162","0,007524",3,"40,546891","3,053930"
216,"0,006068","0,018641","0,008132","0,009548",3,"42,389487","2,710610"
217,"0,006855","0,016913","0,009089","0,011883",4,"44,740009","2,272335"
218,"0,005837","0,016632","0,010313","0,008319",5,"41,101118","2,062581"
219,"0,006922","0,018891","0,012040","0,009246",5,"47,098788","2,407938"
220,"0,006546","0,019520","0,008567","0,008056",4,"42,689084","2,141810"
221,"0,006086","0,019649","0,008190","0,007597",5,"41,522447","1,638053"
222,"0,006443","0,019547","0,007986","0,011565",5,"45,540777","1,597168"
223,"0,005929","0,015126","0,009065","0,008623",5,"38,742885","1,812965"
224,"0,006122","0,019006","0,007214","0,015117",5,"47,458898","1,442839"
225,"0,006388","0,014599","0,009198","0,012844",5,"43,028262","1,839520"
226,"0,005416","0,017763","0,011943","0,009969",5,"45,090392","2,388507"
227,"0,007911","0,020682","0,012533","0,012355",4,"53,480213","3,133207"
228,"0,007126","0,019626","0,009479","0,008482",4,"44,711591","2,369682"
229,"0,007911","0,021346","0,007995","0,009596",4,"46,847960","1,998852"
230,"0,006941","0,019748","0,010378","0,010609",4,"47,675737","2,594563"
231,"0,005475","0,017769","0,008322","0,010140",4,"41,706293","2,080583"
232,"0,006062","0,019946","0,007009","0,009052",4,"42,068674","1,752275"
233,"0,005803","0,018102","0,011190","0,011838",4,"46,933277","2,797435"
234,"0,006310","0,018875","0,009474","0,009372",4,"44,030927","2,368562"
235,"0,005233","0,019730","0,008194","0,009668",4,"42,824511","2,048422"
236,"0,005654","0,019214","0,007307","0,008833",4,"41,008027","1,826750"
237,"0,007400","0,017957","0,006960","0,009559",4,"41,875739","1,740050"
238,"0,005254","0,016119","0,009120","0,008391",4,"38,884522","2,280087"
239,"0,005431","0,020799","0,010775","0,008654",4,"45,660109","2,693783"
240,"0,007392","0,016986","0,007533","0,008061",4,"39,971955","1,883288"
241,"0,007572","0,019189","0,006115","0,008801",4,"41,677462","1,528834"
242,"0,006165","0,017381","0,008630","0,010259",4,"42,434993","2,157530"
243,"0,005451","0,016348","0,008332","0,008227",4,"38,357783","2,082991"
244,"0,005687","0,020724","0,006361","0,007640",4,"40,412675","1,590261"
245,"0,005254","0,017378","0,006923","0,008135",4,"37,689469","1,730722"
246,"0,005845","0,023193","0,006785","0,013048",4,"48,871175","1,696345"
247,"0,006979","0,017615","0,007952","0,011113",4,"43,659519","1,988052"
248,"0,005901","0,017652","0,008051","0,008040",4,"39,643175","2,012709"
249,"0,007171","0,019901","0,007361","0,012959",4,"47,391885","1,840214"
250,"0,006794","0,016700","0,008254","0,007467",4,"39,214263","2,063495"
251,"0,007480","0,019550","0,006389","0,006744",4,"40,163290","1,597325"
252,"0,007385","0,020676","0,008957","0,009513",4,"46,529965","2,239166"
253,"0,005289","0,016667","0,008615","0,007268",4,"37,839106","2,153722"
254,"0,006060","0,019587","0,008397","0,008283",4,"42,326478","2,099200"
255,"0,006056","0,016200","0,010077","0,007485",4,"39,818094","2,519240"
256,"0,009436","0,018545","0,009531","0,008980",4,"46,491948","2,382659"
257,"0,008425","0,019156","0,008312","0,009863",5,"45,756304","1,662457"
258,"0,005526","0,016549","0,010459","0,008990",5,"41,524366","2,091792"
259,"0,006990","0,019472","0,008224","0,009614",5,"44,300439","1,644786"
260,"0,006866","0,016822","0,008796","0,008428",6,"40,912472","1,466019"
261,"0,005582","0,019797","0,011586","0,010610",6,"47,574165","1,930938"
262,"0,006440","0,020579","0,007479","0,011148",6,"45,645676","1,246528"
263,"0,005913","0,018140","0,007661","0,009910",6,"41,623922","1,276827"
264,"0,006545","0,016894","0,011492","0,009643",5,"44,574052","2,298488"
265,"0,007299","0,020313","0,009110","0,013378",6,"50,099381","1,518340"
266,"0,006215","0,018204","0,008899","0,009190",6,"42,507413","1,483145"
267,"0,007105","0,022539","0,010727","0,009163",6,"49,534944","1,787871"
268,"0,007109","0,018079","0,011812","0,009373",6,"46,373191","1,968683"
269,"0,007170","0,019347","0,010733","0,012125",6,"49,374009","1,788788"
270,"0,007825","0,019377","0,012157","0,009714",6,"49,073486","2,026189"
271,"0,007239","0,020497","0,012047","0,009586",5,"49,368441","2,409410"
272,"0,005799","0,019198","0,009680","0,009983",5,"44,659622","1,936003"
273,"0,005330","0,016990","0,008386","0,010596",5,"41,301927","1,677242"
274,"0,005763","0,017702","0,009363","0,012871",5,"45,698477","1,872609"
275,"0,007421","0,017755","0,011825","0,009859",4,"46,859866","2,956352"
276,"0,005263","0,019139","0,009060","0,008518",4,"41,980767","2,265022"
277,"0,006596","0,018222","0,007263","0,010671",4,"42,751933","1,815765"
278,"0,007503","0,015833","0,010596","0,009459",4,"43,390773","2,648925"
279,"0,005232","0,018139","0,008993","0,010542",4,"42,907364","2,248366"
280,"0,006514","0,017500","0,008705","0,009855",4,"42,573206","2,176219"
281,"0,005446","0,017933","0,011684","0,010352",4,"45,415265","2,920943"
282,"0,005326","0,020597","0,008145","0,010382",4,"44,449823","2,036366"
283,"0,005264","0,016094","0,007686","0,011496",4,"40,539080","1,921425"
284,"0,006571","0,016920","0,009574","0,012407",4,"45,472261","2,393563"
285,"0,005303","0,017786","0,010100","0,010992",4,"44,181908","2,525096"
286,"0,006057","0,018456","0,007649","0,013576",4,"45,737838","1,912193"
287,"0,006161","0,017878","0,011461","0,010632",4,"46,131806","2,865309"
288,"0,005863","0,018670","0,006819","0,008918",4,"40,269021","1,704721"
289,"0,006134","0,017696","0,006882","0,010093",4,"40,805267","1,720594"
290,"0,005445","0,014723","0,011539","0,013703",4,"45,408738","2,884670"
291,"0,005307","0,019417","0,007578","0,011369",4,"43,670528","1,894512"
292,"0,005527","0,020128","0,011269","0,011937",4,"48,861479","2,817172"
293,"0,005260","0,018564","0,009367","0,014000",4,"47,190854","2,341817"
294,"0,006019","0,018263","0,012196","0,012750",4,"49,227795","3,049116"
295,"0,005820","0,019762","0,012317","0,011933",4,"49,831882","3,079237"
296,"0,007616","0,019721","0,013904","0,010031",4,"51,271105","3,475996"
297,"0,005367","0,021308","0,011439","0,015498",3,"53,611227","3,812967"
298,"0,006088","0,020289","0,008093","0,012142",3,"46,611791","2,697649"
299,"0,006007","0,025034","0,005922","0,012598",3,"49,560161","1,973867"
300,"0,006652","0,015707","0,007135","0,010022",3,"39,517154","2,378448"
301,"0,006605","0,016027","0,006440","0,013437",3,"42,509812","2,146706"
302,"0,005296","0,016965","0,008723","0,013583",3,"44,566690","2,907716"
303,"0,005870","0,016448","0,007756","0,017925",3,"47,999108","2,585389"
304,"0,005764","0,018979","0,009791","0,014297",3,"48,830949","3,263687"
305,"0,006360","0,017604","0,009747","0,011906",4,"45,616363","2,436733"
306,"0,005489","0,017075","0,009434","0,012114",4,"44,112464","2,358490"
307,"0,010749","0,019786","0,008829","0,011310",4,"50,673772","2,207372"
308,"0,005452","0,018634","0,008484","0,012136",4,"44,705511","2,120985"
309,"0,005581","0,017841","0,006985","0,010928",4,"41,335304","1,746195"
310,"0,007725","0,017664","0,006909","0,012513",4,"44,811436","1,727274"
311,"0,005780","0,015886","0,008072","0,009199",4,"38,937100","2,018109"
312,"0,007051","0,021905","0,008759","0,009693",4,"47,408077","2,189715"
313,"0,006627","0,016709","0,009738","0,015064",4,"48,138411","2,434621"
314,"0,005993","0,017007","0,008546","0,009496",4,"41,041275","2,136553"
315,"0,006179","0,016151","0,007105","0,008131",4,"37,566839","1,776236"
316,"0,005311","0,019611","0,010915","0,016447",4,"52,284041","2,728728"
317,"0,007088","0,018891","0,012216","0,009199",6,"47,393582","2,035950"
318,"0,006178","0,019761","0,008184","0,010123",6,"44,245398","1,363919"
319,"0,005930","0,017087","0,007921","0,010705",5,"41,642195","1,584169"
320,"0,005497","0,017401","0,009263","0,009395",6,"41,555535","1,543819"
321,"0,005648","0,022024","0,011461","0,012947",7,"52,079200","1,637288"
322,"0,005850","0,021702","0,008842","0,011002",7,"47,394990","1,263093"
323,"0,005909","0,017006","0,010378","0,012564",7,"45,856530","1,482580"
324,"0,007467","0,019896","0,013971","0,009451",6,"50,785199","2,328542"
325,"0,005552","0,021113","0,008093","0,011757",6,"46,514829","1,348782"
326,"0,008140","0,016684","0,011959","0,016287",6,"53,068839","1,993121"
327,"0,006000","0,019488","0,009521","0,010499",5,"45,507974","1,904201"
328,"0,005255","0,017833","0,011190","0,012783",5,"47,061280","2,238069"
329,"0,005469","0,019621","0,008538","0,013450",5,"47,077121","1,707560"
330,"0,006675","0,017728","0,008933","0,010517",5,"43,851941","1,786513"
331,"0,006660","0,023709","0,007442","0,011344",5,"49,155729","1,488492"
332,"0,007212","0,015350","0,008820","0,011565",5,"42,947205","1,764042"
333,"0,005352","0,019750","0,010422","0,012499",5,"48,022725","2,084431"
334,"0,006096","0,019921","0,008770","0,011819",5,"46,605072","1,753961"
335,"0,006586","0,019704","0,009866","0,009205",5,"45,361696","1,973259"
