Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
127,"0,005531","0,014909","0,000696","0,003758",0,0,0,0,"2,240658","6,293774","3,913641"
128,"0,005484","0,014934","0,00062","0,004742",0,0,0,0,"2,518177","6,87027","2,81167"
129,"0,005707","0,01365","0,000605","0,005316",0,0,0,0,"2,059937","5,954027","2,630949"
130,"0,005314","0,014783","0,000564","0,005251",0,0,0,0,"2,098083","7,057667","2,207994"
131,"0,005324","0,019712","0,001386","0,005537",0,0,0,0,"4,725695","7,166624","2,037048"
132,"0,005337","0,014281","0,000738","0,006491",0,0,0,0,"2,073288","7,033825","2,157927"
133,"0,005819","0,015104","0,000708","0,006428",0,0,0,0,"2,166033","8,254766","1,909733"
134,"0,005314","0,013314","0,000572","0,005767",0,0,0,0,"2,135277","6,127357","2,068043"
135,"0,005386","0,01349","0,000744","0,003919",0,0,0,0,"2,539158","6,111622","2,214432"
136,"0,005395","0,015578","0,000586","0,00462",0,0,0,0,"3,151655","7,769346","2,149343"
137,"0,005428","0,014279","0,001217","0,004676",0,0,0,0,"2,336264","7,522821","1,986742"
138,"0,007451","0,013241","0,000758","0,00478",0,0,0,0,"2,039433","6,406069","1,899242"
139,"0,005503","0,012738","0,000633","0,003955",0,0,0,0,"2,057076","6,076574","2,054691"
140,"0,00579","0,01315","0,000687","0,004629",0,0,0,0,"2,426624","6,144285","1,844406"
141,"0,005352","0,013809","0,000606","0,003563",0,0,0,0,"2,736807","6,148815","1,747847"
142,"0,005447","0,01373","0,001455","0,005527",0,0,0,0,"2,503633","6,164074","1,924038"
143,"0,005315","0,014297","0,00071","0,005482",0,0,0,0,"3,222466","6,004333","2,143383"
144,"0,005544","0,014846","0,000627","0,006425",0,0,0,0,"2,461195","6,922722","1,810312"
145,"0,005524","0,01481","0,001243","0,005217",0,0,0,0,"2,348423","7,004976","2,052784"
146,"0,007014","0,017059","0,000823","0,005439",0,0,0,0,"4,652262","5,867958","3,785849"
147,"0,006798","0,013857","0,000612","0,004101",0,0,0,0,"2,202749","6,258965","2,396345"
148,"0,006225","0,014765","0,001093","0,004956",0,0,0,0,"2,153635","7,561207","2,034903"
149,"0,005281","0,016076","0,000645","0,00486",0,0,0,0,"2,268314","7,884741","3,015041"
150,"0,006942","0,016629","0,001426","0,004337",0,0,0,0,"4,376173","7,080078","2,560377"
151,"0,005413","0,016126","0,000636","0,003719",0,0,0,0,"3,834963","6,824255","2,042532"
152,"0,005437","0,015078","0,001427","0,004331",0,0,0,0,"2,378941","8,244276","1,957655"
153,"0,005393","0,015361","0,000602","0,004504",0,0,0,0,"2,321959","6,47831","2,367258"
154,"0,005351","0,013431","0,000809","0,005031",0,0,0,0,"1,960754","6,850243","2,273321"
155,"0,005361","0,014736","0,001745","0,003934",0,0,0,0,"2,628088","6,957054","2,131939"
156,"0,006883","0,014033","0,000578","0,006611",0,0,0,0,"2,253771","6,934881","1,982927"
157,"0,005378","0,012196","0,000575","0,004863",0,0,0,0,"2,2223","5,745173","1,895905"
158,"0,007782","0,012186","0,00173","0,005656",0,0,0,0,"1,874924","5,784035","2,146244"
159,"0,005518","0,013044","0,000728","0,004085",0,0,0,0,"2,701044","5,784512","2,143621"
160,"0,006475","0,013795","0,001404","0,004557",0,0,0,0,"2,029419","5,977869","2,099991"
161,"0,005324","0,015648","0,000574","0,004292",0,0,0,0,"1,945972","8,439779","2,635002"
162,"0,007042","0,021068","0,00137","0,005777",0,0,0,0,"2,171278","6,904364","6,159782"
163,"0,005728","0,020553","0,003833","0,008206",1,0,0,0,"2,42877","6,773472","6,165028"
164,"0,005482","0,025012","0,002894","0,00595",1,0,0,0,"2,298117","8,241177","4,939079"
165,"0,005344","0,018287","0,003632","0,004909",1,0,0,0,"2,389669","7,36475","4,233122"
166,"0,005275","0,019818","0,002865","0,005335",1,0,0,0,"2,306223","7,722378","4,083633"
167,"0,005418","0,019193","0,003004","0,008812",1,0,0,0,"2,189636","5,798578","3,967047"
168,"0,005473","0,019669","0,005333","0,008464",2,0,0,0,"2,909422","7,712603","4,03738"
169,"0,005593","0,018272","0,004126","0,006601",3,0,0,0,"2,006531","6,67882","5,134344"
170,"0,005366","0,017224","0,00451","0,006606",3,0,0,0,"2,497435","5,945921","4,416466"
171,"0,006351","0,020334","0,004732","0,004726",3,0,0,0,"2,222776","7,980824","4,149675"
172,"0,005371","0,017753","0,00411","0,005746",3,0,0,0,"2,31123","5,816936","4,239082"
173,"0,005315","0,019622","0,004439","0,005864",3,0,0,0,"2,661467","6,22201","4,601955"
174,"0,005322","0,018768","0,003597","0,005182",3,0,0,0,"2,300262","7,828236","4,139662"
175,"0,005364","0,017819","0,004172","0,005881",3,0,0,0,"2,514362","5,828381","5,026579"
176,"0,005286","0,019221","0,003511","0,004928",3,0,0,0,"2,206326","5,825758","5,73802"
177,"0,007459","0,017752","0,003483","0,00639",3,0,0,0,"2,301455","7,329941","3,719091"
178,"0,005541","0,01758","0,003265","0,005227",3,0,0,0,"2,42424","5,792618","4,081488"
179,"0,005388","0,019138","0,003524","0,006007",3,0,0,0,"2,193689","6,539345","4,745007"
180,"0,005319","0,018023","0,003323","0,006288",3,0,0,0,"3,127098","6,733179","3,862143"
181,"0,005717","0,017409","0,004096","0,007161",3,0,0,0,"2,637386","5,770206","4,622698"
182,"0,007201","0,018371","0,003192","0,006415",3,0,0,0,"2,614021","5,797863","4,51231"
183,"0,005718","0,017447","0,003252","0,006826",3,0,0,0,"2,104521","7,246971","3,699303"
184,"0,005605","0,0176","0,003418","0,006685",3,0,0,0,"2,124071","6,041288","3,790855"
