Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess,Frames Per Second
98,"0,007194","0,019234","0,005404","0,017406",9,"49,236977","0,600410","2,337456","5,891085","4,038095",
98,"0,007194","0,019234","0,005404","0,017406",9,"49,236977","0,600410","2,337456","5,891085","4,038095",
99,"0,005493","0,019599","0,005535","0,009255",9,"39,882664","0,615035","1,993179","5,810976","5,474091",
99,"0,005493","0,019599","0,005535","0,009255",9,"39,882664","0,615035","1,993179","5,810976","5,474091",
100,"0,005268","0,022496","0,007224","0,010344",8,"45,331923","0,903017","2,401114","8,086681","4,771233",
100,"0,005268","0,022496","0,007224","0,010344",8,"45,331923","0,903017","2,401114","8,086681","4,771233",
101,"0,005320","0,022577","0,006054","0,009835",9,"43,785671","0,672676","3,154993","8,008718","3,859520",
101,"0,005320","0,022577","0,006054","0,009835",9,"43,785671","0,672676","3,154993","8,008718","3,859520",
102,"0,006400","0,022508","0,005898","0,009701",9,"44,506024","0,655291","2,205849","7,009029","7,323503",
102,"0,006400","0,022508","0,005898","0,009701",9,"44,506024","0,655291","2,205849","7,009029","7,323503",
103,"0,006232","0,019846","0,005930","0,009918",8,"41,925696","0,741203","2,196789","7,147312","3,809452",
103,"0,006232","0,019846","0,005930","0,009918",8,"41,925696","0,741203","2,196789","7,147312","3,809452",
104,"0,005392","0,017597","0,004716","0,010626",4,"38,330652","1,179050","2,770662","5,775213","4,109383",
104,"0,005392","0,017597","0,004716","0,010626",4,"38,330652","1,179050","2,770662","5,775213","4,109383",
105,"0,005709","0,020103","0,005824","0,009801",4,"41,437782","1,455971","1,965523","9,514809","3,626823",
105,"0,005709","0,020103","0,005824","0,009801",4,"41,437782","1,455971","1,965523","9,514809","3,626823",
106,"0,005707","0,021170","0,005643","0,010344",4,"42,863891","1,410647","2,035618","5,938053","5,766153",
106,"0,005707","0,021170","0,005643","0,010344",4,"42,863891","1,410647","2,035618","5,938053","5,766153",
107,"0,005383","0,017169","0,004451","0,017451",4,"44,453635","1,112636","2,003670","6,064653","4,213572",
107,"0,005383","0,017169","0,004451","0,017451",4,"44,453635","1,112636","2,003670","6,064653","4,213572",
108,"0,005323","0,024550","0,006903","0,008412",5,"45,188005","1,380528","2,651930","9,795666","6,009340",
108,"0,005323","0,024550","0,006903","0,008412",5,"45,188005","1,380528","2,651930","9,795666","6,009340",
109,"0,006638","0,020920","0,007009","0,014773",7,"49,339515","1,001242","2,257347","7,980347","4,087210",
109,"0,006638","0,020920","0,007009","0,014773",7,"49,339515","1,001242","2,257347","7,980347","4,087210",
110,"0,005984","0,021129","0,007358","0,013830",7,"48,300540","1,051208","2,285719","6,970406","5,628586",
