Frame,Captura,Procesamiento,Tracking(ms),Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
165,"0,007609","0,022981","10,836637","0,007703",8,"49,129186","1,354580"
166,"0,005373","0,018681","12,111609","0,008076",8,"44,241981","1,513951"
167,"0,005775","0,022770","14,177242","0,008890",8,"51,612312","1,772155"
168,"0,005542","0,020612","9,485470","0,008231",9,"43,870476","1,053941"
169,"0,009061","0,017519","8,741787","0,009583",9,"44,904957","0,971310"
170,"0,006150","0,017940","11,625986","0,008227",8,"43,943663","1,453248"
171,"0,006057","0,019876","10,591953","0,008748",8,"45,272782","1,323994"
172,"0,006263","0,019068","12,014580","0,008252",9,"45,597501","1,334953"
173,"0,006398","0,019938","8,412907","0,008098",9,"42,845948","0,934767"
174,"0,005519","0,016483","12,681523","0,007481",8,"42,164571","1,585190"
175,"0,005192","0,019104","10,605394","0,008182",7,"43,083014","1,515056"
176,"0,007056","0,018577","13,006306","0,008491",8,"47,129924","1,625788"
177,"0,010366","0,022336","13,003042","0,009075",8,"54,780684","1,625380"
178,"0,005399","0,020788","12,203581","0,007740",8,"46,130774","1,525448"
179,"0,005822","0,019685","10,845629","0,007503",8,"43,855850","1,355704"
180,"0,005828","0,021143","13,086087","0,008362",9,"48,419938","1,454010"
181,"0,009896","0,022748","11,019429","0,010557",8,"54,220658","1,377429"
182,"0,005221","0,018385","9,313621","0,008883",8,"41,802890","1,164203"
183,"0,006279","0,018583","10,066136","0,009038",8,"43,965041","1,258267"
184,"0,005841","0,018545","9,845967","0,009379",9,"43,610624","1,093996"
185,"0,005697","0,019967","10,086650","0,008084",10,"43,833515","1,008665"
186,"0,005580","0,020945","9,873487","0,008271",10,"44,669137","0,987349"
187,"0,006373","0,017648","10,059865","0,008825",9,"42,905823","1,117763"
188,"0,007165","0,018589","10,245441","0,011406",8,"47,404944","1,280680"
189,"0,006514","0,016825","11,728230","0,007917",8,"42,984291","1,466029"
190,"0,005258","0,019886","9,659206","0,008567",7,"43,370549","1,379887"
191,"0,005808","0,018290","10,087706","0,008144",8,"42,329253","1,260963"
192,"0,006083","0,017923","11,510621","0,007622",8,"43,138761","1,438828"
193,"0,006075","0,018683","9,238994","0,008456",8,"42,453321","1,154874"
194,"0,006837","0,017030","10,312580","0,008979",8,"43,157866","1,289073"
195,"0,005446","0,019009","11,813803","0,008320",8,"44,588558","1,476725"
196,"0,006199","0,021672","10,052600","0,008171",8,"46,094356","1,256575"
197,"0,005652","0,017382","11,504572","0,008059",8,"42,597935","1,438071"
198,"0,005508","0,021137","9,979508","0,008695",9,"45,319983","1,108834"
199,"0,007283","0,018171","9,658310","0,008506",9,"43,618882","1,073146"
200,"0,005629","0,017718","9,426587","0,008248",8,"41,021575","1,178323"
201,"0,006209","0,017245","10,651348","0,008106",8,"42,211870","1,331419"
202,"0,006158","0,019143","9,507326","0,008561",8,"43,369236","1,188416"
203,"0,007069","0,020423","9,197296","0,008437",8,"45,126599","1,149662"
204,"0,006459","0,017555","11,650371","0,010582",8,"46,245820","1,456296"
205,"0,005683","0,020059","10,614386","0,008323",8,"44,679858","1,326798"
206,"0,006861","0,017969","10,394920","0,008839",8,"44,063764","1,299365"
207,"0,005550","0,018695","11,285234","0,007859",8,"43,389846","1,410654"
208,"0,005552","0,021086","12,259263","0,008225",8,"47,122180","1,532408"
209,"0,006139","0,018424","10,509710","0,010404",8,"45,476056","1,313714"
210,"0,006134","0,019281","11,224847","0,007704",8,"44,343937","1,403106"
211,"0,006832","0,022851","11,958001","0,008634",8,"50,275609","1,494750"
212,"0,005668","0,020679","13,266799","0,008649",8,"48,263546","1,658350"
213,"0,006085","0,022117","13,120616","0,007957",8,"49,278794","1,640077"
214,"0,005490","0,022426","12,338916","0,008012",8,"48,267132","1,542364"
215,"0,005586","0,019997","11,892718","0,007929",8,"45,404147","1,486590"
216,"0,008897","0,021212","11,544606","0,009458",8,"51,111616","1,443076"
217,"0,006698","0,019788","13,436439","0,009524",10,"49,446546","1,343644"
218,"0,007744","0,020485","13,663842","0,008654",8,"50,547431","1,707980"
219,"0,007338","0,022589","13,912270","0,007892",5,"51,732093","2,782454"
220,"0,005526","0,024941","14,721395","0,008754",8,"53,942148","1,840174"
221,"0,006732","0,022068","14,287231","0,009552",10,"52,638504","1,428723"
222,"0,005610","0,023804","15,091813","0,011378",12,"55,883649","1,257651"
223,"0,011066","0,022022","14,438054","0,009198",11,"56,724167","1,312550"
224,"0,005284","0,021573","16,400674","0,009048",11,"52,305847","1,490970"
225,"0,005320","0,023165","16,520008","0,009302",12,"54,307479","1,376667"
226,"0,006261","0,024069","15,561530","0,009919",12,"55,810427","1,296794"
227,"0,006087","0,024918","14,296127","0,013825",9,"59,125687","1,588459"
228,"0,005745","0,020317","14,945470","0,008424",8,"49,431313","1,868184"
229,"0,006219","0,022891","14,313344","0,009300",9,"52,723660","1,590372"
230,"0,006036","0,023131","12,661746","0,008452",9,"50,281240","1,406861"
231,"0,006345","0,019674","11,350069","0,009329",9,"46,697681","1,261119"
232,"0,006403","0,020283","10,799580","0,011119",10,"48,603979","1,079958"
233,"0,006392","0,019906","10,764954","0,010372",9,"47,435540","1,196106"
234,"0,005688","0,020001","14,204379","0,008227",8,"48,121012","1,775547"
