Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess
224,"0,005382","0,038101","0,004653","0,007677",5,"55,813846","0,930571","2,371550","5,719900","8,845568"
225,"0,006520","0,049753","0,005358","0,010226",5,"71,857054","1,071634","5,124092","23,605108","3,881216"
226,"0,005358","0,021405","0,005156","0,008187",5,"40,106817","1,031273","2,079487","7,098198","5,832434"
227,"0,005401","0,038709","0,004159","0,009907",4,"58,175077","1,039672","2,365112","26,216507","4,565001"
228,"0,007886","0,034471","0,003979","0,007189",4,"53,525645","0,994694","2,702951","13,260603","8,185148"
229,"0,005740","0,040533","0,004750","0,010284",4,"61,307189","1,187543","2,032280","25,110483","6,145954"
230,"0,005998","0,026784","0,004742","0,008062",4,"45,585884","1,185543","6,154060","9,741068","4,640818"
231,"0,005329","0,037875","0,004690","0,009079",4,"56,972781","1,172566","2,632856","6,664991","10,164976"
232,"0,005390","0,037076","0,004360","0,007449",4,"54,275024","1,090106","2,480268","23,533344","4,961967"
233,"0,008048","0,034164","0,004679","0,009697",4,"56,588476","1,169814","4,453421","6,636858","4,646540"
234,"0,005296","0,044981","0,005786","0,008337",4,"64,400163","1,446539","2,405167","24,997950","9,745598"
235,"0,006053","0,028444","0,003936","0,009565",4,"47,997164","0,983933","4,951477","10,125875","5,078316"
236,"0,005298","0,042433","0,005160","0,007888",4,"60,779004","1,290076","2,852678","26,288748","5,956173"
237,"0,005852","0,034144","0,003861","0,009650",4,"53,506828","0,965213","3,970385","13,386965","7,812738"
238,"0,009240","0,037645","0,004480","0,007579",4,"58,944873","1,120124","2,167940","24,983406","4,169226"
239,"0,005336","0,031738","0,003682","0,007856",4,"48,611817","0,920570","2,592325","13,007164","8,325100"
240,"0,005356","0,025827","0,003637","0,007060",4,"41,879729","0,909178","2,407789","6,172419","4,402637"
241,"0,006047","0,042252","0,003731","0,008392",4,"60,421035","0,932707","2,544403","23,531675","8,831739"
242,"0,008267","0,025572","0,004096","0,007634",4,"45,567964","1,024088","5,140066","7,458210","4,344463"
243,"0,005391","0,040407","0,005336","0,007523",4,"58,656571","1,334014","2,725363","26,039839","4,716873"
