Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess,FPS
201,"0,005446","0,018047","0,003711","0,005405",3,"32,608537","1,237102","2,92325","6,786823","3,887653",
202,"0,005395","0,017509","0,003599","0,006226",3,"32,729564","1,199747","2,619028","5,800486","3,796816",
203,"0,005458","0,017104","0,00329","0,006318",3,"32,170383","1,09679","2,271891","5,83601","3,829956",
204,"0,005336","0,016688","0,003644","0,006646",3,"32,313716","1,214766","2,897263","5,716562","3,603697",
205,"0,005363","0,018052","0,004306","0,007501",3,"35,223086","1,435496","2,53582","5,819559","3,738165",
206,"0,0053","0,016522","0,003465","0,006085",3,"31,371776","1,154882","2,27809","5,77879","3,751278",
207,"0,005502","0,016349","0,003539","0,005901",2,"31,290879","1,769348","2,250195","5,911589","3,773928",
208,"0,00531","0,016508","0,004343","0,007203",2,"33,363881","2,171372","2,405643","5,841255","3,622532",
209,"0,00531","0,016141","0,003442","0,005429",2,"30,321961","1,721155","2,521038","5,735159","3,583193",
210,"0,00627","0,0175","0,003651","0,005587",2,"33,008033","1,825509","2,302408","5,803585","4,077911",
211,"0,006085","0,016332","0,004221","0,006389",2,"33,027266","2,110555","2,62475","5,846977","3,553629",
212,"0,00592","0,016002","0,003334","0,005716",2,"30,971449","1,66693","2,285242","5,71537","3,6273",
213,"0,006085","0,016688","0,004261","0,00726",2,"34,293947","2,130492","2,397299","5,749941","4,090071",
214,"0,005361","0,016701","0,004686","0,006635",2,"33,383242","2,343023","2,514362","5,760193","3,91221",
215,"0,005331","0,017856","0,00434","0,006046",3,"33,573677","1,446739","2,892733","5,734682","3,704548",
216,"0,005532","0,016338","0,004011","0,006558",3,"32,43967","1,337073","2,272844","5,804777","3,927231",
217,"0,005562","0,016562","0,004853","0,009089",3,"36,065727","1,61758","2,49052","5,81336","3,803968",
218,"0,005678","0,016507","0,005451","0,00693",4,"34,565601","1,3627","2,501965","5,776167","3,658533",
219,"0,005992","0,017324","0,005739","0,007095",4,"36,150241","1,434733","2,379417","5,829811","4,677773",
220,"0,005635","0,018838","0,006988","0,006838",5,"38,299086","1,397654","2,388716","5,877495","5,809784",
221,"0,006382","0,017375","0,005051","0,00682",5,"35,627159","1,010101","2,315521","5,812168","4,709959",
222,"0,006266","0,018176","0,005763","0,011721",5,"41,924759","1,15251","2,277851","6,416798","5,126953",
223,"0,005486","0,018692","0,004531","0,007585",5,"36,293701","0,906143","2,280712","5,785227","4,933357",
224,"0,005575","0,021605","0,004906","0,007691",5,"39,778091","0,981294","2,412081","11,073828","3,909349",
225,"0,006254","0,01642","0,006029","0,009444",5,"38,147114","1,205823","2,45738","5,862713","3,617048",
226,"0,006134","0,016391","0,004497","0,008217",5,"35,238799","0,899423","2,429008","6,275654","3,537416",
227,"0,00613","0,016184","0,004288","0,008023",4,"34,624419","1,071982","2,263546","5,800724","4,193544",
228,"0,00544","0,017643","0,005271","0,007925",4,"36,278499","1,317835","2,41518","6,396532","3,540993",
229,"0,005347","0,018979","0,004729","0,008151",4,"37,206583","1,182336","2,43187","8,255243","3,756762",
230,"0,008409","0,016795","0,00424","0,009265",4,"38,708949","1,05995","2,456427","5,837917","4,18663",
231,"0,005357","0,01593","0,005015","0,008708",4,"35,010539","1,25381","2,321005","5,83744","3,489494",
232,"0,006765","0,016094","0,004307","0,007661",4,"34,826887","1,076766","2,371788","5,788565","3,637791",
233,"0,005418","0,019843","0,0043","0,008228",4,"37,789124","1,075094","2,643585","7,201672","3,688812",
234,"0,007348","0,017473","0,004874","0,008505",4,"38,200363","1,218569","2,33531","6,42848","3,904104",
235,"0,005513","0,018398","0,004182","0,007764",4,"35,857116","1,045509","2,495527","7,57122","3,770113",
236,"0,005378","0,016583","0,004712","0,009383",4,"36,055935","1,17792","2,565145","5,97167","3,482103",
237,"0,005428","0,016374","0,00573","0,007357",4,"34,888806","1,432557","2,520084","5,810022","3,715515",
238,"0,005515","0,020364","0,004396","0,008329",4,"38,603378","1,09891","2,508879","6,067991","6,132364",
239,"0,005613","0,018003","0,004589","0,009452",4,"37,657375","1,147296","2,904415","5,800962","3,57914",
240,"0,006797","0,018504","0,004144","0,0088",4,"38,245067","1,036085","3,436565","6,336212","3,870964",
241,"0,005391","0,02024","0,004972","0,009677",4,"40,279829","1,242914","2,310276","7,138491","5,591631",
242,"0,00793","0,022465","0,003696","0,007941",4,"42,032697","0,923939","2,294064","11,602163","3,983736",
243,"0,005376","0,02603","0,004254","0,007986",4,"43,64428","1,063382","5,872965","6,123543","9,107113",
244,"0,005321","0,021856","0,003997","0,007128",4,"38,301453","0,999156","2,468586","5,957365","6,193161",
245,"0,005661","0,021895","0,004625","0,007086",4,"39,266433","1,1562","2,476454","6,330967","5,910873",
246,"0,005312","0,018316","0,004535","0,006929",4,"35,091851","1,133631","2,58255","5,935907","5,129576",
247,"0,005385","0,017115","0,003698","0,008446",4,"34,642753","0,924483","2,268076","5,940914","4,496098",
248,"0,006501","0,016596","0,004375","0,006775",4,"34,246779","1,093838","2,259493","5,887747","4,125595",
249,"0,005785","0,017284","0,004066","0,010711",4,"37,844705","1,016381","2,381325","6,53553","3,824472",
250,"0,005433","0,017654","0,004034","0,008183",4,"35,303215","1,008492","2,666712","5,864382","4,034758",
251,"0,006511","0,017338","0,004885","0,00657",4,"35,303631","1,221233","2,776384","6,32","3,663301",
252,"0,005394","0,018044","0,004364","0,007269",4,"35,071787","1,091046","2,063751","6,349087","4,692554",
253,"0,011681","0,016509","0,005317","0,007474",3,"40,981027","1,772399","2,257109","5,825758","3,881693",
254,"0,005318","0,016862","0,003768","0,007873",4,"33,821074","0,942011","2,54178","5,750656","3,615856",
255,"0,00532","0,016279","0,0048","0,006637",4,"33,035264","1,200001","2,388","5,784273","3,627062",
256,"0,01079","0,01649","0,004058","0,006654",4,"37,992423","1,014461","2,319813","5,856037","3,691435",
257,"0,005392","0,017824","0,004795","0,006816",4,"34,826437","1,198681","2,198696","5,822659","5,452156",
258,"0,005485","0,016146","0,004392","0,006941",5,"32,964831","0,878495","2,257586","5,807161","3,727436",
259,"0,005941","0,017117","0,004846","0,006667",5,"34,570369","0,969172","2,647161","5,814075","3,732443",
260,"0,005504","0,016452","0,006129","0,008382",6,"36,467686","1,021578","2,659559","5,804062","3,605127",
261,"0,005896","0,016787","0,00454","0,00753",5,"34,753124","0,908012","2,668142","5,782366","3,620148",
262,"0,006399","0,016718","0,004664","0,008202",6,"35,982524","0,777312","2,245903","5,778551","4,25148",
263,"0,005377","0,016171","0,005608","0,007032",6,"34,18796","0,9346","2,267599","5,856991","3,610849",
264,"0,005367","0,017018","0,005498","0,007406",5,"35,289357","1,099568","2,635717","5,795002","3,571749",
265,"0,005435","0,015828","0,006453","0,010482",6,"38,197737","1,075505","2,205372","5,786419","3,584385",
