CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,mJ,Total_mJ,Total_J,Total_Time_s,average_mW,average_GPU_Usage_%,average_CPU_Usage_%,CV_mW
0,7,0,15,69,8,8,15,2263,2262,2264,2263,2260,2264,2264,2265,0,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
8,0,0,7,90,7,0,8,2264,2263,2260,2263,2263,2262,2261,2263,52,318,774,2477,2631,464,3120,9466,57,,,,,,,
8,23,0,0,84,0,0,0,2264,2265,2264,2264,2263,2263,2265,2261,0,318,774,2477,2631,309,3120,9311,56,,,,,,,0.0
0,0,8,15,75,0,0,0,2260,2264,2264,2262,2262,2264,2261,2263,33,318,774,2477,2631,464,3120,9466,57,,,,,,,
8,9,0,0,90,7,0,0,2260,2264,2264,2264,2263,2261,2264,2262,4,318,774,2477,2631,309,3120,9311,56,,,,,,,0.0
16,21,0,15,69,0,15,9,2264,2262,2263,2262,2260,2264,2264,2266,8,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
8,23,0,0,90,0,8,41,2265,2264,2263,2264,2261,2264,2261,2262,41,318,774,2631,2630,464,3120,9619,57,,,,,,,0.0
15,0,0,0,83,15,9,15,2266,2264,2267,2264,2263,2264,2263,2264,0,318,774,2631,2631,309,3120,9465,57,,,,,,,0.0
54,66,66,75,18,66,16,54,2264,2264,2263,2264,2264,2264,2264,2265,0,318,773,3557,2629,464,3160,10583,63,,,,,,,0.0
9,91,83,100,100,91,27,84,2260,2263,2264,2264,2265,2266,2263,2264,64,318,773,4947,2783,463,3200,12166,73,,,,,,,
16,9,9,8,16,84,8,9,2263,2266,2264,2259,2262,2264,2263,2265,0,318,773,4638,2783,463,3160,11817,71,,,,,,,0.0
0,0,8,8,0,58,25,16,2266,2259,2263,2263,2264,2264,2264,2264,9,318,773,4021,2784,464,3160,11202,67,,,,,,,0.0
15,0,23,8,50,0,33,23,2265,2260,2265,2261,2263,2263,2264,2262,71,318,773,3712,2629,464,3160,10738,64,,,,,,,0.0
23,0,15,0,83,0,8,8,2257,2265,2264,2263,2263,2265,2265,2264,0,318,773,3404,2630,464,3160,10431,62,,,,,,,0.0
8,14,0,14,75,7,15,0,2264,2264,2264,2264,2264,2264,2265,2264,0,318,773,3095,2630,464,3160,10122,61,,,,,,,0.0
0,8,0,9,83,0,8,0,2265,2264,2264,2264,2264,2258,2265,2265,60,318,773,2940,2630,464,3120,9927,59,,,,,,,0.0
15,0,15,16,83,0,0,8,2264,2265,2264,2266,2265,2264,2265,2264,0,318,774,2940,2630,464,3160,9968,60,,,,,,,0.0
8,0,16,7,83,0,0,0,2262,2265,2263,2264,2262,2264,2262,2264,93,318,774,2785,2630,464,3160,9813,59,,,,,,,0.0
8,15,8,8,83,0,0,8,2270,2264,2264,2264,2264,2265,2264,2263,0,318,774,2786,2631,309,3120,9620,57,,,,,,,0.0
16,0,8,8,75,7,0,9,2264,2264,2264,2264,2265,2260,2263,2264,0,318,774,2786,2631,464,3160,9815,59,,,,,,,0.0
9,8,0,15,83,8,0,0,2264,2264,2264,2264,2264,2264,2264,2264,71,318,774,2631,2631,464,3120,9620,57,,,,,,,0.0
33,18,100,8,83,7,30,16,2263,2264,2260,2262,2263,2264,2256,2259,0,318,773,3249,2630,464,3160,10276,61,,,,,,,0.0
16,8,0,0,83,0,7,23,2264,2262,2264,2264,2264,2263,2263,2264,96,318,773,3095,2630,464,3160,10122,61,,,,,,,0.0
8,15,0,0,91,8,0,7,2264,2264,2264,2263,2264,2264,2272,2267,0,318,774,2940,2630,464,3120,9928,59,,,,,,,0.0
8,8,0,0,66,0,0,8,2265,2264,2264,2272,2264,2264,2264,2253,0,318,774,2785,2630,464,3160,9813,59,,,,,,,0.0
9,0,8,15,90,7,15,8,2264,2263,2266,2264,2264,2263,2264,2270,80,318,774,2786,2631,464,3160,9815,59,,,,,,,0.0
7,15,0,0,85,0,58,7,2265,2264,2265,2264,2264,2264,2264,2265,0,318,774,2940,2630,464,3160,9968,60,,,,,,,0.0
9,0,7,7,75,0,8,8,2265,2260,2265,2263,2259,2263,2264,2263,88,318,774,2785,2631,464,3160,9814,59,,,,,,,0.0
